function,input_size,clock_cycle
2,5000,19802456
1,5000,13726831
2,5000,24332278
1,5000,15355403
2,5000,21522912
1,5000,14515053
2,5000,23435421
1,5000,14408819
2,5000,20867287
1,5000,13763490
2,5000,20567219
1,5000,13719305
2,5000,20203546
1,5000,13791254
2,5000,20066223
1,5000,13564029
2,5000,19371913
1,5000,13508115
2,5000,19461489
1,5000,13571204
2,5000,19430229
1,5000,13571535
2,5000,19762243
1,5000,13461288
2,5000,19720385
1,5000,13345736
2,5000,19700233
1,5000,13754770
2,5000,19562770
1,5000,13485266
2,5000,19541332
1,5000,13634352
2,5000,19405360
1,5000,13631219
2,5000,19577945
1,5000,13689431
2,5000,19843955
1,5000,13571864
2,5000,19309507
1,5000,13476941
2,5000,20040722
1,5000,13510904
2,5000,19634691
1,5000,13433529
2,5000,20002946
1,5000,13673392
2,5000,19758069
1,5000,13559178
2,5000,19458429
1,5000,13594269
2,5000,19257224
1,5000,13587601
2,5000,19739620
1,5000,13527161
2,5000,20006295
1,5000,13637280
2,5000,19695230
1,5000,13571362
2,5000,19773753
1,5000,13569826
2,5000,19738054
1,5000,13661490
2,5000,20454126
1,5000,14146876
2,5000,20614407
1,5000,14860254
2,5000,21636265
1,5000,14871184
2,5000,21202529
1,5000,14611763
2,5000,21483098
1,5000,14740645
2,5000,20316019
1,5000,13886190
2,5000,20985589
1,5000,14101965
2,5000,19438303
1,5000,13584625
2,5000,19204033
1,5000,13430603
2,5000,19282892
1,5000,13443546
2,5000,19253962
1,5000,13440292
2,5000,19796561
1,5000,13597189
2,5000,20275917
1,5000,13427592
2,5000,22518623
1,5000,13906769
2,5000,19599470
1,5000,13313663
2,5000,19218502
1,5000,13100766
2,5000,19157938
1,5000,13402704
2,5000,19356054
1,5000,13382035
2,5000,19818532
1,5000,13594935
2,5000,20476000
1,5000,14155710
2,5000,19356891
1,5000,13491539
2,5000,19260077
1,5000,13358099
2,5000,19318520
